balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
PJM,2025-03-13,95269.0,78450.0,6738.0,2575.2871090114554,24,16819.0,0.16666666666666666,-0.7863952122690472,0.7291526355948925,-0.741141342586066,-0.7983839192602207,0.36019899324451365
PJM,2025-03-14,93892.0,79425.0,5455.0,2216.4109387194794,24,14467.0,0.3333333333333333,-0.8643033600957163,-0.20996554427619202,0.5322824882527222,-0.5419864161191861,0.3855040270774928
PJM,2025-03-15,88444.0,74670.0,3287.0,1582.6298690901267,24,13774.0,0.25,-1.1725412608652828,-1.7968776362173544,-0.10442942716667182,-3.073848324249309,0.13562307870327206
PJM,2025-03-16,83341.0,71510.0,2684.0,1339.404918697809,24,11831.0,0.4583333333333333,-1.4612596910464684,-2.238255861051543,1.4873503613818133,-2.212165190716198,0.2206664998764058
PJM,2025-03-17,92498.0,74979.0,6494.0,2329.255270280704,24,17519.0,0.5,-0.9431733369078998,0.5505518281993005,1.8057063190915106,1.4130848103829112,0.5784588839947474
PJM,2025-03-18,101930.0,83273.0,7304.0,2912.3968452218132,24,18657.0,0.125,-0.4095279844742449,1.143447951110897,-1.059497300295763,-0.3255773336591109,0.4068624220943269
PJM,2025-03-19,93828.0,77280.0,7458.0,2659.0614555281277,24,16548.0,0.16666666666666666,-0.8679243633353,1.2561714115163118,-0.741141342586066,-0.35289429440505415,0.4041663871976453
PJM,2025-03-20,89950.0,75260.0,6458.0,2338.0942161097355,24,14690.0,0.625,-1.0873345283838278,0.5242008894032295,2.7607741922206017,2.1976405532400034,0.6558902527625482
PJM,2025-03-21,98004.0,78446.0,7435.0,2837.1948456867226,24,19558.0,0.125,-0.6316539019524604,1.239336089507711,-1.059497300295763,-0.45181511274051245,0.39440344245715836
PJM,2025-03-22,89032.0,78500.0,2748.0,1471.6780400696305,24,10532.0,0.20833333333333334,-1.1392732936016072,-2.191409747636306,-0.4227853848763688,-3.753468426114282,0.06854828483600876
PJM,2025-03-23,85937.0,77677.0,2533.0,1500.6890953390596,24,8260.0,0.5,-1.3143827471408525,-2.3487834098906184,1.8057063190915106,-1.8574598379399603,0.25567398178547973
PJM,2025-03-24,94599.0,77678.0,6876.0,2323.5871221304433,24,16921.0,0.375,-0.8243025899334395,0.8301645676464979,0.8506384459624193,0.8565004236754777,0.5235270435360971
PJM,2025-03-25,94353.0,79863.0,6571.0,2477.750677222844,24,14490.0,0.2916666666666667,-0.8382208211355896,0.6069135584020078,0.21392653054302538,-0.01738073219055644,0.43727974415023274
PJM,2025-03-26,97028.0,79130.0,7335.0,2606.0335924820547,24,17898.0,0.16666666666666666,-0.6868742013561127,1.1661390372964027,-0.741141342586066,-0.261876506645776,0.41314934596454306
PJM,2025-03-27,101832.0,83649.0,7395.0,2908.510425757338,24,18183.0,0.125,-0.4150726456848575,1.2100572686231876,-1.059497300295763,-0.2645126773574329,0.4128891703067041
PJM,2025-03-28,91192.0,77839.0,6232.0,2288.099391258029,24,13353.0,0.375,-1.0170644342656556,0.3587755514056729,0.8506384459624193,0.19234956310243667,0.4579789793345574
PJM,2025-03-29,85709.0,70836.0,3493.0,1455.2212118308057,24,14873.0,0.125,-1.3272825711818697,-1.6460917086620594,-1.059497300295763,-4.032871580139692,0.04097271885335182
